ID,Nombre Completo,F. Nac.,Direccion,Comisión,CURP,RFC,Sexo,F. Ing.,Status,E_Mail,Tel. 1,Tel. 2
100,PULPO OCTAVIO,23/Jan/2006,BANCO DE FOMENTO No. 6604  Col. El Centenario  GENERAL ESCOBEDO  NUEVO LEON C.P. 66059,2.00%,PUPO060123PIPO01,PUPO060123PIP,Masculino,08/Oct/2025,Activa,,,
101,FEDE,20/Oct/2025,DEFRE No. 0  Col. Nuestra Señora de Fátima  GENERAL ESCOBEDO  NUEVO LEON C.P. 66057,2.00%,FEDE,FEDE,Masculino,08/Oct/2025,Activa,,,
102,fsdfsfsfs,22/Oct/2025,fsdfdsfdsf No. 0  Col. Las Arboledas  AGUASCALIENTES  AGUASCALIENTES C.P. 20020,0.00%,fsdfsdfsdf,fsdfsfsf,Masculino,08/Oct/2025,Activa,,,
103,gggggg,13/Oct/2025,gsdgsgsd No. 0  Col. Don Lalo  GENERAL ESCOBEDO  NUEVO LEON C.P. 66050,1.00%,ggggg,ggggg,Masculino,09/Oct/2025,Activa,,,
104,ffhdsjfhskjdhfkdshfkhsd,01/Oct/2025,ssdfdsfsdfsfd No. 0  Col. INFONAVIT Felipe Carrillo Puerto  GENERAL ESCOBEDO  NUEVO LEON C.P. 66055,1.00%,fsdfdsfdsfds,fdsfdsfsdfsdfsd,Masculino,09/Oct/2025,Activa,,534535,5345435
105,FEDERIKO KIKO,01/Oct/2025,PIRUL No. 804  Col. El Centenario  GENERAL ESCOBEDO  NUEVO LEON C.P. 66059,1.50%,KIKO060502589RTG,KIKO030502FTG,Masculino,09/Oct/2025,Activa,KIKO@HOTMAIL.COM,6116625578,6116654889
106,dsfthtrbbdfbdf,04/Oct/2000,fsdfsdfsdfsd No. 0  Col. Cerradas de Anáhuac Sector Premier  GENERAL ESCOBEDO  NUEVO LEON C.P. 66059,1.00%,rrrrrrrrrrrrrrrrrr,rrrrrrrrrrrrr,Masculino,09/Oct/2025,Activa,fsdfsdfsdfsdfsdf,4234234,423424
107,jujuyjyujujyujyujyujyj,13/Jul/2000,gdfgfdgdfgdg No. 0  Col. Ampliación Lázaro Cárdenas  GENERAL ESCOBEDO  NUEVO LEON C.P. 66058,2.00%,jjjjjjjjjjjjjjjjjj,jjjjjjjjjjjj,Masculino,09/Oct/2025,Activa,gdgdfgdfgdgdfgdf,546456,6456456
108,fsdfkjsdfkhsdkjfhsdkjfhksdjhfkjsdhf,20/Oct/1998,fsdfsfsdf No. 0  Col. Privada Residencial Aviana  GENERAL ESCOBEDO  NUEVO LEON C.P. 66057,1.00%,aaaaaaaaaaaaaaaaaa,aaaaaaaaaaaaa,Masculino,09/Oct/2025,Activa,,2544245,254245245
109,gdfgdfgdfgdfg,06/Sep/2000,gdfgdfgdfg No. 0  Col. INFONAVIT Felipe Carrillo Puerto  GENERAL ESCOBEDO  NUEVO LEON C.P. 66055,1.50%,123456789123456789,1234567891234,Masculino,09/Oct/2025,Activa,gdfgdfgdfgd,34535,534535
110,fdsfsdfsfsdfsdfsdfdsf,16/Oct/2000,fsfsfdsfdsfsfdsfdsf No. 0  Col. Cerradas de Anáhuac Sector Contemporáneo  GENERAL ESCOBEDO  NUEVO LEON C.P. 66059,0.00%,123456789123456789,1234567891234,Masculino,09/Oct/2025,Activa,,42342424,4234234234
